BID,BID_SIZE,ASK,ASK_SIZE,DAILY_CHANGE,DAILY_CHANGE_PERCENT,LAST_PRICE,VOLUME,HIGH,LOW,TIMESTAMP,TIMESTAMP_CONVERTED
61341,6.99032124,61343,5.53963483,-1375,-0.02192318,61344,1217.35080899,64800,60715,1714482941,2024-04-30 16:45:41
61341,6.99032124,61343,5.53963483,-1375,-0.02192318,61344,1217.35080899,64800,60715,1714482943,2024-04-30 16:45:43
61347,7.4984317,61348,6.87472168,-1342,-0.02140692,61348,1208.4657015,64800,60715,1714482949,2024-04-30 16:45:49
61347,7.4984317,61348,6.87472168,-1342,-0.02140692,61348,1208.4657015,64800,60715,1714482951,2024-04-30 16:45:51
61347,7.4984317,61348,6.87472168,-1342,-0.02140692,61348,1208.4657015,64800,60715,1714482953,2024-04-30 16:45:53
61347,7.4984317,61348,6.87472168,-1342,-0.02140692,61348,1208.4657015,64800,60715,1714482956,2024-04-30 16:45:56
61347,7.4984317,61348,6.87472168,-1342,-0.02140692,61348,1208.4657015,64800,60715,1714482959,2024-04-30 16:45:59
61347,7.4984317,61348,6.87472168,-1342,-0.02140692,61348,1208.4657015,64800,60715,1714482961,2024-04-30 16:46:01
61347,7.4984317,61348,6.87472168,-1342,-0.02140692,61348,1208.4657015,64800,60715,1714482963,2024-04-30 16:46:03
61347,7.4984317,61348,6.87472168,-1342,-0.02140692,61348,1208.4657015,64800,60715,1714482965,2024-04-30 16:46:05
61347,7.50144175,61348,4.92479463,-1343,-0.02142287,61347,1208.4667015,64800,60715,1714482968,2024-04-30 16:46:08
61347,7.50144175,61348,4.92479463,-1343,-0.02142287,61347,1208.4667015,64800,60715,1714482971,2024-04-30 16:46:11
61347,7.50144175,61348,4.92479463,-1343,-0.02142287,61347,1208.4667015,64800,60715,1714482973,2024-04-30 16:46:13
61347,7.50144175,61348,4.92479463,-1343,-0.02142287,61347,1208.4667015,64800,60715,1714482975,2024-04-30 16:46:15
61347,7.50144175,61348,4.92479463,-1343,-0.02142287,61347,1208.4667015,64800,60715,1714482977,2024-04-30 16:46:17
61347,7.50144175,61348,4.92479463,-1343,-0.02142287,61347,1208.4667015,64800,60715,1714482979,2024-04-30 16:46:19
61347,7.50144175,61348,4.92479463,-1343,-0.02142287,61347,1208.4667015,64800,60715,1714482981,2024-04-30 16:46:21
61347,7.50144175,61348,4.92479463,-1343,-0.02142287,61347,1208.4667015,64800,60715,1714482983,2024-04-30 16:46:23
61347,7.50144175,61348,4.92479463,-1343,-0.02142287,61347,1208.4667015,64800,60715,1714482985,2024-04-30 16:46:25
61347,7.50144175,61348,4.92479463,-1343,-0.02142287,61347,1208.4667015,64800,60715,1714482988,2024-04-30 16:46:28
61347,7.50144175,61348,4.92479463,-1343,-0.02142287,61347,1208.4667015,64800,60715,1714482990,2024-04-30 16:46:30
61347,7.50144175,61348,4.92479463,-1343,-0.02142287,61347,1208.4667015,64800,60715,1714482992,2024-04-30 16:46:32
61347,7.50144175,61348,4.92479463,-1343,-0.02142287,61347,1208.4667015,64800,60715,1714482994,2024-04-30 16:46:34
61347,7.50144175,61348,4.92479463,-1343,-0.02142287,61347,1208.4667015,64800,60715,1714482996,2024-04-30 16:46:36
61347,7.50144175,61348,4.92479463,-1343,-0.02142287,61347,1208.4667015,64800,60715,1714482998,2024-04-30 16:46:38
61347,7.50144175,61348,4.92479463,-1343,-0.02142287,61347,1208.4667015,64800,60715,1714483001,2024-04-30 16:46:41
61357,10.39523898,61358,5.17243552,-1332,-0.02124741,61358,1208.70151444,64800,60715,1714483003,2024-04-30 16:46:43
61357,10.39523898,61358,5.17243552,-1332,-0.02124741,61358,1208.70151444,64800,60715,1714483005,2024-04-30 16:46:45
61357,10.39523898,61358,5.17243552,-1332,-0.02124741,61358,1208.70151444,64800,60715,1714483007,2024-04-30 16:46:47
61357,10.39523898,61358,5.17243552,-1332,-0.02124741,61358,1208.70151444,64800,60715,1714483009,2024-04-30 16:46:49
61367,7.59254404,61368,6.50485767,-1322,-0.02108789,61368,1208.95088466,64800,60715,1714483016,2024-04-30 16:46:56
61367,7.59254404,61368,6.50485767,-1322,-0.02108789,61368,1208.95088466,64800,60715,1714483018,2024-04-30 16:46:58
