Symbols
1INCH:USD
1INCH:UST
AAVE:USD
AAVE:UST
ADABTC
ADAUSD
ADAUST
ALGBTC
ALGUSD
ALGUST
ALT2612:USD
ALT2612:UST
AMPBTC
AMPUSD
AMPUST
APENFT:USD
APENFT:UST
APEUSD
APEUST
APPUSD
APPUST
APTUSD
APTUST
ARBUSD
ARBUST
ATOBTC
ATOUSD
ATOUST
AVAX:BTC
AVAX:USD
AVAX:UST
AXSUSD
AXSUST
AZERO:USD
AZERO:UST
B2MUSD
B2MUST
BALUSD
BALUST
BAND:USD
BAND:UST
BATUSD
BCHN:USD
BEST:USD
BGBUSD
BGBUST
BLUR:USD
BLUR:UST
BMNBTC
BMNUSD
BOBA:USD
BONK:USD
BONK:UST
BORG:BTC
BORG:USD
BORG:UST
BOSON:USD
BOSON:UST
BTC:CNHT
BTC:MXNT
BTC:XAUT
BTCEUR
BTCEUT
BTCGBP
BTCJPY
BTCMIM
BTCTRY
BTCUSD
BTCUST
BTTUSD
BXNUSD
BXNUST
CCDUSD
CCDUST
CELO:USD
CELO:UST
CHEX:USD
CHZUSD
CHZUST
CNH:CNHT
COMP:USD
COMP:UST
COQUSD
COQUST
CRVUSD
CRVUST
DAIUSD
DOGE:BTC
DOGE:USD
DOGE:UST
DORA:USD
DOTBTC
DOTUSD
DOTUST
DSHBTC
DSHUSD
DUSK:USD
DVFUSD
DYMUSD
DYMUST
EGLD:USD
EGLD:UST
ENAUSD
ENAUST
EOSBTC
EOSETH
EOSUSD
EOSUST
ETCBTC
ETCUSD
ETCUST
ETH2X:ETH
ETH2X:USD
ETH2X:UST
ETH:MXNT
ETH:XAUT
ETHBTC
ETHEUR
ETHEUT
ETHGBP
ETHJPY
ETHUSD
ETHUST
ETHW:USD
ETHW:UST
EURUST
EUT:MXNT
EUTEUR
EUTUSD
EUTUST
FCLUSD
FCLUST
FETUSD
FETUST
FILUSD
FILUST
FLOKI:USD
FLOKI:UST
FLRUSD
FLRUST
FORTH:USD
FORTH:UST
FTMUSD
FTMUST
FUNUSD
GALA:USD
GALA:UST
GBPEUT
GBPUST
GMMT:USD
GMMT:UST
GNOUSD
GOCUSD
GOCUST
GOMINING:USD
GOMINING:UST
GRTUSD
GRTUST
GTXUSD
GTXUST
HIXUSD
HIXUST
HMTUSD
HMTUST
HTXUSD
HTXUST
ICPUSD
ICPUST
IDXUSD
INJUSD
INJUST
IOTBTC
IOTUSD
JASMY:USD
JASMY:UST
JPYUST
JSTBTC
JSTUSD
JSTUST
JUPUSD
JUPUST
KANUSD
KANUST
KARATE:USD
KARATE:UST
KAVA:USD
KAVA:UST
KNCUSD
KSMUSD
KSMUST
LDOUSD
LDOUST
LEOBTC
LEOETH
LEOUSD
LEOUST
LIFIII:USD
LIFIII:UST
LINK:USD
LINK:UST
LRCUSD
LTCBTC
LTCUSD
LTCUST
LUNA2:USD
LUNA2:UST
LYMUSD
LYMUST
MATIC:BTC
MATIC:USD
MATIC:UST
MEME:USD
MEME:UST
MIMUSD
MIMUST
MKRUSD
MKRUST
MLNUSD
MNABTC
MNAUSD
MPCUSD
MPCUST
MXNT:USD
NEAR:USD
NEAR:UST
NEOBTC
NEOUSD
NEOUST
NEXO:BTC
NEXO:USD
NEXO:UST
NOMUSD
NOMUST
NXRA:USD
OCEAN:USD
OCEAN:UST
OGNUSD
OGNUST
OMGBTC
OMGETH
OMGUSD
OMNUSD
OPXUSD
OPXUST
PAXUSD
PAXUST
PEPE:USD
PEPE:UST
PLUUSD
PNKUSD
QRDO:USD
QRDO:UST
QTFBTC
QTFUSD
QTMUSD
REQUSD
RLYUSD
RLYUST
RRTUSD
SAND:USD
SAND:UST
SEIUSD
SEIUST
SENATE:USD
SGBUSD
SGBUST
SHIB:USD
SHIB:UST
SIDUS:USD
SMRUSD
SMRUST
SNXUSD
SNXUST
SOLBTC
SOLUSD
SOLUST
SPELL:USD
SPELL:UST
STGUSD
STGUST
STRK:USD
STRK:UST
SUIUSD
SUIUST
SUKU:USD
SUKU:UST
SUNUSD
SUNUST
SUSHI:USD
SUSHI:UST
SWEAT:USD
SWEAT:UST
TESTADA:TESTUSD
TESTALGO:TESTUSD
TESTAPT:TESTUSD
TESTAVAX:TESTUSD
TESTBTC:TESTUSD
TESTBTC:TESTUSDT
TESTDOGE:TESTUSD
TESTDOT:TESTUSD
TESTEOS:TESTUSD
TESTETH:TESTUSD
TESTFIL:TESTUSD
TESTLTC:TESTUSD
TESTMATIC:TESTUSD
TESTMATIC:TESTUSDT
TESTNEAR:TESTUSD
TESTSOL:TESTUSD
TESTXAUT:TESTUSD
TESTXTZ:TESTUSD
THETA:USD
THETA:UST
TIAUSD
TIAUST
TLOS:USD
TOKEN:USD
TOKEN:UST
TOMI:USD
TOMI:UST
TONUSD
TONUST
TRADE:USD
TRADE:UST
TRXBTC
TRXETH
TRXEUR
TRXUSD
TRXUST
TRYUST
TSDUSD
TSDUST
UDCUSD
UDCUST
UNIUSD
UNIUST
UOSBTC
UOSUSD
UST:CNHT
UST:MXNT
USTUSD
VETBTC
VETUSD
VETUST
VRAUSD
VRAUST
WAVES:USD
WAVES:UST
WBTBTC
WBTUSD
WHBT:USD
WHBT:UST
WIFUSD
WIFUST
WILD:USD
WILD:UST
WMINIMA:USD
WMINIMA:UST
WNCG:USD
WOOUSD
WOOUST
WXXUSD
WXXUST
XAUT:BTC
XAUT:USD
XAUT:UST
XCAD:USD
XDCUSD
XDCUST
XLMBTC
XLMUSD
XLMUST
XMRBTC
XMRUSD
XMRUST
XRDBTC
XRDUSD
XRPBTC
XRPUSD
XRPUST
XTPUSD
XTPUST
XTZBTC
XTZUSD
XTZUST
XVGUSD
YFIUSD
YFIUST
ZECBTC
ZECUSD
ZETA:USD
ZETA:UST
ZILUSD
ZRXUSD
